node_name,memory_usage,cpu_usage,cpu_cores,total_memory,jobId,timestamp
worker26,25.0,0.9398498810805678,2,8.0,application_1726669773678_0040,2024-09-20T16:17:40
worker27,0.0,0.8078061058090058,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker28,25.0,1.4730807518327782,2,8.0,application_1726669773678_0040,2024-09-20T16:17:40
worker29,0.0,0.8494584896800217,4,1.0,application_1726669773678_0040,2024-09-20T16:17:40
worker1,0.0,0.5440714135844793,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker2,0.0,0.5752910940609701,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker3,0.0,0.5808030884042581,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker4,0.0,0.567964546317945,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker5,0.0,0.5077056973448957,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker6,0.0,0.5589746987388899,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker7,0.0,0.5531823660058,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker8,25.0,1.0516313032928881,2,8.0,application_1726669773678_0040,2024-09-20T16:17:42
worker9,0.0,0.5427006575845161,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker10,0.0,0.5617327198436328,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker11,0.0,0.5352576545788024,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker12,0.0,0.520982294936212,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker13,0.0,0.8992062008407298,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker14,25.0,0.9966087675694513,2,8.0,application_1726669773678_0040,2024-09-20T16:17:42
worker15,0.0,0.7346888324266443,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker16,0.0,0.8271847682565836,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker17,0.0,0.9298422254010119,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker18,0.0,0.8500934029543661,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker19,25.0,1.5158060720028566,2,8.0,application_1726669773678_0040,2024-09-20T16:17:42
worker20,0.0,0.8969648029171995,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker21,0.0,0.7854554308512895,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker22,0.0,0.8429206653258858,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker23,25.0,1.5097157972895237,2,8.0,application_1726669773678_0040,2024-09-20T16:17:42
worker24,0.0,0.9367099655729683,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker25,0.0,0.7997457443631006,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker26,25.0,0.9405122478101768,2,8.0,application_1726669773678_0040,2024-09-20T16:17:42
worker27,0.0,0.8081403138895715,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker28,25.0,1.4737007586693718,2,8.0,application_1726669773678_0040,2024-09-20T16:17:42
worker29,0.0,0.849573172050222,4,1.0,application_1726669773678_0040,2024-09-20T16:17:42
worker1,0.0,0.54439947765762,4,1.0,application_1726669773678_0040,2024-09-20T16:17:44
worker2,0.0,0.5756713468351049,4,1.0,application_1726669773678_0040,2024-09-20T16:17:44
